name,price,stock,description,warranty_period,manufacturer_id,category_id
Stainless Steel Straws,12.99,99,Set of reusable stainless steel straws for drinks.,7,4,9
Smart Doorbell,119.99,60,Wi-Fi enabled doorbell with HD camera and two-way audio.,4,79,13
Italian Meatballs,8.49,31,"Juicy meatballs made with a blend of beef and pork, seasoned with Italian herbs.",9,35,16
Oversized Denim Shirt,49.99,91,A trendy oversized denim shirt perfect for layering.,6,53,78
Magnetic Curtain Tiebacks,12.99,87,Easy-to-use tiebacks for curtains or drapes.,2,72,98
Portable Grill Cover,24.99,69,Durable cover to protect your grill from the elements.,1,58,28
Key Finder,19.99,13,Bluetooth-enabled key tracker to find lost items easily.,7,40,16
Berries Medley,6.99,60,"A mix of fresh raspberries, blueberries, and blackberries.",3,72,51
Home Brewing Starter Kit,79.99,5,All-in-one kit for brewing beer at home.,2,24,36
Repair Tool Set for Home Improvement,29.99,97,Small toolkit with essentials for home repairs.,8,68,30
Foot Massager Machine,59.99,59,Electric foot massager for relaxation and relief.,7,2,24
Buffalo Wing Sauce,3.99,79,Spicy sauce perfect for chicken wings and dipping.,4,17,39
Stainless Steel Grater,14.99,74,Multi-functional grater for cheese and vegetables.,6,31,55
Reusable Coffee Filter,10.99,66,Eco-friendly coffee filter for brewing.,7,78,35
Puzzle 3D Model Kit,22.99,54,3D model puzzle kit for creative builders.,12,46,79
Air Mattress,49.99,19,Inflatable air mattress for convenient sleeping.,12,21,57
Karaoke Microphone,39.99,80,Wireless microphone for singing and performances.,6,77,55
Pomegranate Juice,4.49,87,"Fresh pomegranate juice, rich in antioxidants.",7,92,23
Maxi Wrap Dress,49.99,41,A flowy maxi dress perfect for both casual and semi-formal occasions.,6,40,25
Indoor Plants,19.99,8,Assorted indoor plants for home decor.,7,41,10
Portable Dog Water Bottle,18.99,75,Convenient water bottle for pets on the go.,12,17,26
Brussels Sprouts,3.49,73,"Fresh Brussels sprouts, great for roasting or steaming.",1,33,82
Sweet Corn Fritters,4.49,25,Golden-brown fritters made with sweet corn.,3,93,59
Strawberry Rhubarb Jam,4.29,81,"A sweet and tart jam, perfect on toast or in desserts.",10,98,100
Kettle Chip Variety Pack,3.99,61,A crunchy collection of flavored kettle chips in a convenient pack.,8,55,49
Smartphone Tripod with Bluetooth Remote,29.99,7,Tripod with wireless remote for effortless photo-taking.,4,41,58
Graphic Sweatshirt,34.99,44,A comfortable sweatshirt featuring a bold graphic print.,8,99,8
Brown Sugar,1.79,91,"Raw brown sugar, perfect for baking or sweetening drinks.",5,21,60
Whole Roasted Chicken,9.99,81,"Seasoned and roasted to perfection, ready to eat.",11,96,99
Portable Massage Table,199.99,63,Folding massage table for professional or home use.,5,37,19
Sweet and Sour Sauce,2.79,24,Perfect dipping sauce or stir-fry addition for a sweet and tangy flavor.,12,12,81
Wine Glasses,29.99,73,Set of elegant wine glasses for special occasions.,7,64,81
Recipe Book Stand,22.99,9,Stylish stand to hold your recipes while cooking.,4,26,68
Digital Camera,299.99,92,Compact digital camera with 20MP resolution.,7,6,24
Electric Food Steamer,59.99,11,Electric food steamer for healthy cooking.,11,24,20
Feta Cheese Crumbles,2.49,97,"Crumbled feta cheese, perfect for salads and Mediterranean dishes.",3,21,31
Foot Massager Machine,59.99,64,Electric foot massager for relaxation and relief.,4,54,59
Personal Blender with Cups,34.99,4,Compact blender that comes with travel cups for smoothies.,11,57,14
Sunflower Seeds,2.99,89,Salted sunflower seeds perfect for snacking.,4,35,42
Wooden Toy Train Set,29.99,43,Classic wooden train set for imaginative play.,7,63,56
Digital Thermostat,59.99,57,Programmable digital thermostat for home heating.,4,67,98
Set of Herb Garden Markers,8.99,97,Stylish markers for labeling your indoor garden plants.,2,6,81
Electric Ice Cream Maker,59.99,41,Make delicious ice cream at home with this user-friendly machine.,7,91,46
Garden Hose Reel,49.99,37,Compact hose reel to keep your garden tidy.,2,10,10
Garlic Naan Bread,3.99,84,"Soft and delicious garlic-infused flatbread, perfect for dipping.",4,20,60
Personal Blender,39.99,4,Compact blender for quick smoothies and shakes.,3,19,53
Handcrafted Wooden Coasters,19.99,54,Set of unique wooden coasters for drinks and decor.,12,7,82
Cheese Stuffed Jalapenos,5.99,37,"Spicy jalapenos stuffed with cheese, ideal for appetizers.",5,91,29
Diced Tomatoes (canned),1.49,88,"Canned diced tomatoes, great base for sauces and soups.",2,99,98
Himalayan Salt Grinder,4.99,3,"Natural pink salt, perfect for seasoning.",4,85,48
Body Wash,12.99,86,Moisturizing body wash with natural ingredients.,10,81,13
Chipotle Sauce,3.29,76,Spicy sauce made with chipotle peppers,3,52,52
Over-the-Door Hooks,12.99,51,Convenient hooks that utilize door space for hanging items.,9,5,90
Electric Blanket,59.99,69,Extra soft electric blanket with adjustable heat settings.,5,59,58
Maple Almond Granola,5.49,47,Crunchy granola with maple flavor and almond pieces for breakfast.,11,59,10
Sliced Avocado,2.79,56,"Ready-to-eat avocado slices, perfect for tacos.",3,31,100
Jasmine Rice,2.39,78,"Fragrant jasmine rice, perfect as a side dish.",12,85,4
Electric Nail File Kit,34.99,89,Professional-grade nail care set for manicures and pedicures.,3,42,64
Hot Dog Buns,2.49,84,Soft buns perfect for stuffing with your favorite hot dogs.,2,45,30
Crispy Potato Tots,3.69,61,"Golden brown potato tots, crispy on the outside and fluffy inside.",10,63,98
Peanut Butter Banana Smoothie,3.99,85,Smooth and creamy smoothie made with peanut butter and banana.,9,71,57
Balsamic Vinaigrette,2.69,77,Rich and tangy dressing perfect for salads.,5,86,73
Dark Chocolate Almond Butter Cups,4.99,9,Rich almond butter encased in dark chocolate.,9,82,88
Zesty Garlic Hummus,3.99,62,Creamy chickpea dip infused with zesty garlic flavor.,1,6,83
Chili Lime Corn Chips,2.79,24,Crunchy corn chips flavored with chili and lime for a zesty kick.,10,62,21
Sports Bottle,15.99,52,BPA-free sports bottle with flip-top lid.,6,9,1
Action Camera,199.99,65,Compact action camera for capturing adventures.,6,55,77
Multi-Function Smartphone Holder,12.99,85,"Versatile holder that can be used on desks, cars, and more.",4,75,91
Home Karaoke System,129.99,24,Complete karaoke system with microphones and speakers.,1,99,48
Chili Powder,2.09,78,Spicy chili powder to add heat to dishes.,9,95,48
Roasted Vegetable Medley,3.99,42,A mix of frozen roasted vegetables for an easy side dish.,3,48,20
Coffee Making Kit,44.99,69,Complete set to brew coffee with different methods.,7,6,45
Gardening Tools Set,45,39,Complete set of gardening tools for outdoor tasks.,2,87,97
Wireless Gaming Headset,89.99,40,Comfortable headset with surround sound for immersive gaming.,2,92,100
Raisin Cinnamon Granola,3.79,11,Crunchy granola with raisins and cinnamon for a delightful breakfast.,5,80,79
Car Vacuum,49.99,40,Portable car vacuum cleaner with strong suction.,8,7,2
Maple Pecan Oatmeal Cookies,3.99,12,Soft oatmeal cookies with maple and pecans.,5,100,4
Decorative LED Neon Sign,45.99,42,"Bright, vibrant sign to add flair to any space.",6,3,76
Beef Stroganoff Meal Kit,12.99,24,Complete meal kit with everything needed to make beef stroganoff in under 30 minutes.,2,23,46
Stylish Combat Boots,99.99,55,Bold combat boots that make a statement with any outfit.,1,18,36
Zesty Garlic Hummus,3.99,54,Creamy chickpea dip infused with zesty garlic flavor.,3,54,42
Pet Water Fountain with Filtration,39.99,97,"Continuous stream of fresh water for pets, promoting hydration.",11,98,10
Apple Cinnamon Granola,4.49,98,A wholesome granola with bits of apple and a touch of cinnamon.,10,63,79
Bluetooth Sleep Headphones,29.99,11,Comfortable wireless headphones designed for sleeping.,6,83,98
Gluten-Free Biscuits,3.79,86,Fluffy biscuits made without gluten,11,71,75
Garden Tool Set with Carrying Bag,39.99,53,Complete set for garden care with a handy carrying bag.,4,73,69
Roasted Garlic Aioli,3.79,84,Flavored aioli made with roasted garlic,2,80,67
Maple Pecan Oatmeal Cookies,3.99,48,Soft oatmeal cookies with maple and pecans.,3,85,84
Wireless Keyboard and Mouse Combo,34.99,24,Compact wireless set for easy computer usability.,12,3,31
Zucchini Noodle Pasta,3.99,92,"Low-carb zucchini noodles, perfect for a healthy alternative to pasta.",3,72,8
Fridge Magnet Set,15.99,5,Fun fridge magnets to decorate your kitchen.,3,12,38
Multi-Purpose Scissors,8.99,67,Heavy-duty scissors for crafting and office use.,11,34,12
Wireless Keyboard and Mouse Combo,34.99,77,Compact wireless set for easy computer usability.,8,95,62
Coloring Books for Adults,14.99,50,Intricate designs for adults to relax and unwind.,8,4,68
Pleated Midi Dress,79.99,21,"A stylish midi dress with stylish pleats, suitable for any occasion.",4,41,30
Vegan Mayonnaise,4.49,66,Plant-based mayonnaise for a creamy taste.,12,89,34
Compact Portable Grill,79.99,19,Easy-to-use portable grill for barbecues.,5,13,19
Legging Pants,34.99,50,Comfortable and stretchy legging pants perfect for workouts or daily wear.,5,85,85
Inflatable Party Cooler,19.99,33,Fun inflatable cooler to keep drinks cold at parties.,7,54,28
Instant Mashed Potatoes,1.79,21,Quick and easy side dish with buttery flavor.,5,67,60
Almond Flour,5.99,21,"Gluten-free almond flour, perfect for baking.",11,78,65
Coconut Lime Rice,2.99,70,"Flavorful rice mixed with coconut and lime, a tropical side dish.",12,47,90
Honey-Balsamic Vinaigrette,3.39,9,A sweet and tangy vinaigrette dressing for salads.,11,80,28
Compact Umbrella,12.99,11,Portable and lightweight umbrella for protection from rain.,10,31,39
Beef Sirloin Steak,15.99,11,"Juicy and tender beef sirloin steak, grass-fed.",6,5,8
Art Supplies Organizer,18.99,65,Storage organizer for art supplies and tools.,8,80,47
Thyme,2.49,63,"Fresh thyme, perfect for seasoning dishes.",3,49,62
Kettle Corn Popcorn,2.99,99,"Sweet and salty kettle corn, perfect for snacking.",4,66,74
Cinnamon Sugar Mix,1.49,36,Sweet mixture of cinnamon and sugar for sprinkling.,2,58,61
Safety Pin Dispenser,5.99,28,Handy dispenser for quick access to safety pins.,3,66,12
Golf Polo Shirt,39.99,31,Breathable polo shirt designed for both style and comfort on the greens.,1,69,7
Canned Black Beans,1.29,58,"Delicious and hearty black beans, great for soups or salads.",12,40,88
Lentil Vegetable Curry,4.49,59,A flavorful lentil curry cooked with vegetables and spices.,1,74,5
Vegetable Spiralizer,19.99,84,Create spiraled vegetable noodles easily for healthy meals.,8,4,51
Acoustic Guitar,199.99,33,Beginner-friendly acoustic guitar with natural finish.,12,38,62
Essential White Button-Up,44.99,99,A classic white button-up shirt for a polished appearance.,4,51,2
Heavy Duty Gardening Tool Set,49.99,78,Comprehensive tool set for gardening enthusiasts.,8,62,48
Self-Adhesive Wallpaper,34.99,17,Peel and stick wallpaper for easy home decor changes.,7,24,72
Frozen Spinach,1.99,21,"Chopped and frozen spinach, ideal for cooking and smoothies.",1,79,32
Travel Document Organizer,15.99,35,"Organize travel documents, passport, and cards.",10,34,8
Wireless Charging Station,39.99,3,Charge multiple devices with this sleek charging station.,11,82,51
Frozen Edamame,3.29,13,"Lightly salted frozen edamame, a protein-packed snack.",8,70,61
Adjustable Kitchen Broom Stand,14.99,44,Space-saving broom holder for organized cleaning supplies.,9,66,74
Silicone Baking Mat Set,24.99,68,Non-stick and reusable mats for easy baking.,4,90,72
Scented Soy Candles,19.99,64,Hand-poured candles made of natural soy wax.,1,77,48
Floral Wrap Top,49.99,38,A feminine wrap top with a beautiful floral print.,1,13,53
Ice Pack,8.99,9,Reusable gel ice pack for injuries and cooling.,6,39,53
Sweet and Spicy Barbecue Sauce,3.99,49,A flavorful barbecue sauce with a sweet and spicy kick.,9,63,90
Organic Black Bean Burger,4.49,20,Delicious plant-based burger made with organic black beans and spices.,11,19,53
Zesty Cilantro Lime Dressing,3.29,36,A bright and zesty dressing perfect for salads and tacos.,11,47,3
Reusable Silicone Food Storage Bags,19.99,22,Eco-friendly bags for storing food without plastic waste.,11,94,47
Caramelized Onion Dip,3.99,30,"Creamy dip made with caramelized onions, perfect for chips or veggies.",4,47,17
Rechargeable Electric Screwdriver,39.99,21,Convenient electric screwdriver for DIY projects at home.,12,88,66
Scent Diffuser Oil,14.99,26,Essential oil blends for a soothing atmosphere in your home.,6,18,14
Black Bean & Corn Salad,3.99,59,"A fresh salad made with black beans, corn, and a zesty dressing, great for summer cookouts.",1,90,73
Coconut Cream,2.99,74,"Rich cream extracted from coconut milk, ideal for desserts.",11,85,41
Kids' Trampoline,139.99,89,Safe and fun trampoline for children.,9,39,98
Honey BBQ Ribs,12.99,46,Tender ribs smothered in a honey barbecue sauce.,10,9,65
Chocolate Mint Thins,2.99,76,Mint-flavored chocolate candies for a refreshing treat.,2,99,14
Gaming Headset,69.99,8,Comfortable gaming headset with surround sound.,7,25,99
Cucumber Relish,3.39,57,"Sweet relish made from cucumbers, perfect for sandwiches.",1,78,21
Chewy Granola Bars,3.49,40,Oats and honey bars with a chewy texture and nutty flavor.,6,97,40
Wall Art Stickers,19.99,62,Removable wall art stickers for home decoration.,11,20,78
Chili Lime Corn Chips,2.79,20,Crunchy corn chips flavored with chili and lime for a zesty kick.,11,69,87
Ground Turkey,5.49,36,"Lean and versatile ground turkey, perfect for various dishes.",10,47,13
Compressed Towel Tablets,12.99,10,"Compact towels that expand when wet, ideal for travel.",6,62,80
Cinnamon Sugar Popcorn,2.89,55,Sweet popcorn coated in a mixture of cinnamon and sugar.,2,76,30
Electric Heating Pad,20.99,29,Microwaveable heating pad for muscle pain relief and relaxation.,10,44,91
Smoked Paprika,2.99,16,Add a smoky flavor to your dishes.,1,73,17
Pesto Pasta Salad,4.99,29,Cold pasta salad tossed with pesto and fresh vegetables.,5,46,92
Mediterranean Couscous,3.59,51,"Flavored couscous with herbs and spices, perfect as a side dish or a base for salads.",9,70,27
Phone Screen Protector,12.99,6,Tempered glass screen protector for smartphones.,8,49,69
Slingback Sandals,29.99,25,Chic slingback sandals for a relaxed summer vibe.,5,58,4
Chicken Sausage,6.99,85,"Flavorful chicken sausage, low in fat and fully cooked.",7,99,67
Chunky Knit Sweater,59.99,75,Cozy oversized sweater perfect for chilly days with a textured knit design.,5,9,42
Vegan Caesar Dressing,3.99,72,"Creamy vegan dressing made with cashews, perfect for salads.",4,100,33
Plant-Based Cookbook,29.99,53,Delicious recipes focusing on plant-based ingredients.,8,36,7
Cranberry Juice,3.69,55,Refreshing cranberry juice with no added sugar.,11,27,85
Rice Noodles,3.49,14,"Thin rice noodles, ideal for stir-fries and soups.",4,20,12
White Rice,1.49,20,"Plain white rice, a staple for any meal.",9,20,54
Wireless Smart Plug,19.99,97,Control home appliances remotely using your smartphone app.,5,26,69
Salsa,3.49,24,"Fresh and zesty salsa, perfect for nachos.",1,81,62
Colorful Post-It Notes Set,9.99,46,Variety pack of sticky notes in different colors and sizes.,8,32,41
Induction Cooktop,89.99,78,Portable induction cooktop for quick heating.,6,32,84
Mechanical Pencil Set,19.99,13,"Precision pencils for drawing, sketching, and writing.",2,42,85
Snap-On Tupperware Set,34.99,54,Durable and versatile food storage containers.,8,20,14
White Rice,1.49,34,"Plain white rice, a staple for any meal.",6,88,100
Chocolate Covered Pretzels,3.29,88,"Crunchy pretzels coated in rich chocolate, a sweet treat.",10,37,33
Weighted Blanket for Adults,59.99,11,A calming blanket that provides gentle pressure for relaxation.,6,60,16
Robot Vacuum Cleaner,299.99,63,Smart robotic vacuum for automatic cleaning.,9,63,50
Pet Bed with Removable Cover,49.99,14,Comfy pet bed with washable cover for easy cleaning.,4,24,70
Antique Style Clock,39.99,48,Nostalgic clock that adds charm to any room.,2,41,38
Garam Masala Spice Blend,2.79,59,A fragrant Indian spice blend for curries and stews.,9,3,4
Cereal Dispenser with Portion Control,24.99,79,Maintain freshness and dispense cereal easily.,3,3,52
Personal Blender with Travel Cup,39.99,4,Blender for smoothies with a portable cup.,1,59,2
Natural Fruit Snacks,3.99,40,"Healthy fruit snacks, made with real fruit.",10,30,33
Oatmeal Raisin Cookies,3.49,93,Delicious cookies packed with oats and raisins.,4,63,38
Foam Roller for Muscle Recovery,29.99,76,Use this foam roller for effective post-workout recovery.,1,23,71
Faux Leather Leggings,49.99,22,Stylish faux leather leggings for a trendy outfit.,12,14,68
Heavy-Duty Utility Tote,34.99,45,"Large, durable tote bag for shopping and outdoor activities.",4,72,45
Blueberry Muffin Mix,4.29,56,Make delightful blueberry muffins at home with this easy mix.,10,46,12
Magnetic Spice Containers,24.99,64,Set of magnetic jars for convenient spice organization.,7,53,9
Wireless Charging Pad,19.99,55,Sleek wireless charging pad for smartphones.,6,52,7
Watercolor Brush Pens,19.99,23,Set of brush pens for colorful and creative painting.,7,67,2
Turkey Bacon,3.99,25,"Delicious turkey bacon, a healthier alternative.",1,92,14
Wireless Gaming Headset,89.99,86,Comfortable headset with surround sound for immersive gaming.,1,85,76
Lemon Sorbet,4.99,71,Refreshing sorbet with a zesty lemon flavor.,9,64,3
Lightweight Backpacking Tent,129.99,91,Easy-to-set up tent designed for campers and hikers.,12,12,24
Water-Resistant Bluetooth Speaker,59.99,23,Durable speaker designed for outdoor use with water resistance.,10,23,8
Coconut Oil Spray,4.99,14,A zero-calorie coconut oil spray for cooking and baking.,9,47,76
Garlic Herb Grilled Chicken,8.99,85,Marinated grilled chicken breasts seasoned with garlic and herbs.,2,95,55
Kale & Quinoa Salad Mix,4.49,26,"A nutrient-packed salad mix with kale, quinoa, and a lemon vinaigrette, ready to eat.",11,71,99
Pistachios,6.99,57,"Roasted pistachios, a healthy and tasty snack.",8,8,65
Bluetooth Sleep Headphones,29.99,88,Comfortable wireless headphones designed for sleeping.,3,64,52
Desk Lamp with USB Port,29.99,24,Modern desk lamp that features a built-in USB charging port.,3,36,98
Frozen Cauliflower Rice,2.99,98,Convenient and low-carb alternative to traditional rice.,6,71,41
Garden Tool Set with Carrying Bag,39.99,41,Complete set for garden care with a handy carrying bag.,4,3,31
Tuna Fish (canned),2.29,4,"Wild-caught tuna in olive oil, perfect for salads.",2,64,59
Tortilla Chips,2.99,84,"Crispy tortilla chips, perfect for dipping.",6,100,91
Wireless HDMI Receiver,49.99,40,Stream HD video wirelessly from devices to TV.,11,20,72
Yoga Blocks,29.99,84,Set of two yoga blocks for increased stability and support.,11,29,40
Potato Wedge Seasoning,2.49,33,Seasoning mix for making crispy and flavorful potato wedges.,2,16,29
Indoor Plants,19.99,26,Assorted indoor plants for home decor.,4,27,85
Pistachios,6.99,98,"Roasted pistachios, a healthy and tasty snack.",10,89,15
Creamy Ranch Dressing,2.49,57,Classic ranch dressing for salads and dipping.,11,46,89
Savory Snack Mix,4.49,96,"A mix of nuts, pretzels, and crackers, seasoned just right for snacking.",8,97,10
Adjustable Garden Rake,22.99,14,Heavy-duty rake with adjustable width for different gardening needs.,9,17,8
Frozen Vegetarian Pizza,6.49,69,A delicious pizza loaded with vegetables,2,58,76
Organic Honeycrisp Apples,1.99,17,"Sweet and crisp apples, perfect for snacking.",8,71,98
Teriyaki Stir-Fry Sauce,3.49,77,Savory teriyaki sauce for stir-frying veggies or meats.,2,89,5
Chili Powder,2.09,14,Spicy chili powder to add heat to dishes.,10,88,53
Chocolate Fudge Brownie Mix,2.99,99,Just add water for delicious brownies.,1,43,84
Handheld Vacuum,79.99,76,Cordless handheld vacuum for quick cleanups.,4,4,96
Classic Pesto Sauce,4.29,39,"Fresh basil pesto, perfect for pasta or as a sandwich spread.",4,5,23
Sriracha Honey Glaze,3.59,67,"A spicy glaze made with sriracha and honey, perfect for meats.",12,28,37
Maple Cinnamon Granola,4.29,61,"Crunchy granola mixed with maple syrup and cinnamon, perfect for breakfast or snacks.",10,21,38
Chocolate Hazelnut Spread,5.99,17,"A creamy spread made with chocolate and hazelnuts, perfect for toast.",7,66,94
Garden Tool Belt,22.99,83,Handy belt for carrying garden tools while working.,2,40,92
Digital Stopwatch Timer,12.99,17,Accurate stopwatch for timing events and workouts.,8,66,60
Bluetooth Car Adapter,24.99,28,Connect your phone to the car's audio system via Bluetooth.,6,32,72
Smoked Salmon,14.99,43,"Deliciously smoked salmon, great for bagels.",12,77,20
Craft Beer Mustard,3.99,95,Stone-ground mustard infused with craft beer for a gourmet touch.,10,41,97
Toy Building Set,29.99,67,Creative building set for kids to spark imagination.,6,80,58
Children's Educational Puzzle,19.99,14,Fun and educational puzzle set for kids.,4,89,74
Fitness Tracker Watch,79.99,53,Water-resistant activity tracker and smartwatch features.,6,27,38
Bamboo Charcoal Air Purifier Bags,12.99,73,Natural air purifiers to absorb odors and moisture.,3,42,16
Skincare Fridge,39.99,86,Small fridge designed to keep skincare products cool and fresh.,4,66,79
Almond Flour Pancake Mix,5.99,40,Gluten-free pancake mix made with almond flour.,6,41,22
Window Bird Feeder with Suction Cups,28.99,38,Clear feeder that attaches to windows for bird watching.,12,3,75
Organic Whole Grain Oats,2.49,38,Whole grain oats that are perfect for breakfast or baking.,8,15,60
Mint Chocolate Chip Ice Cream,4.99,9,Creamy ice cream with refreshing mint flavor and chocolate chips.,7,13,77
Coconut Chips,3.59,59,"Crunchy, toasted coconut chips for snacking.",6,88,22
Measuring Cups Set,19.99,99,Stackable measuring cups made from stainless steel.,10,63,70
Chocolate Dipped Fruit,5.99,82,"Fruits dipped in rich chocolate, perfect for desserts.",3,83,83
Crispy Rice Treats,3.5,88,Classic marshmallow treats made with crispy rice.,7,86,49
Ribbed Knit Dress,59.99,94,A fitted ribbed knit dress that hugs your curves perfectly.,4,37,2
Collapsible Pet Dog Bowl,9.99,48,Travel-friendly dog bowl that is collapsible for easy storage.,8,70,77
Bluetooth Headphones,79.99,85,Noise-cancelling Bluetooth headphones for immersive sound.,7,19,94
Nutty Granola Clusters,2.49,6,Crunchy granola clusters mixed with nuts and honey.,9,86,3
Savory Quinoa Pudding,2.99,80,"A delicious savory quinoa pudding, great as a side dish.",12,4,92
Sriracha Honey Glaze,3.59,20,"A spicy glaze made with sriracha and honey, perfect for meats.",7,54,27
Spinach and Feta Wraps,4.99,21,Whole wheat wraps filled with spinach and feta cheese.,12,55,27
Almond Butter Cookies,4.49,98,Soft cookies made with almond butter,5,63,14
Beach Cover-Up,29.99,57,"Lightweight cover-up perfect for the beach, with a breezy design.",4,96,60
Ginger Tea,4.99,86,A soothing herbal tea made from ginger root.,3,6,73
Classic Slim Fit Shirt,49.99,30,A tailored slim fit shirt for a polished look at work.,11,2,89
Sourdough Bread,4.99,84,Artisan-made sourdough bread with a tangy flavor.,3,29,54
Organic Cucumber,1.29,55,Fresh organic cucumber perfect for salads or snacking.,10,6,99
Insulated Coffee Mug,24.99,46,Double-walled mug to keep your drink hot for longer.,12,97,32
Honey Roasted Peanuts,3.19,4,"Crunchy peanuts coated in honey, perfect for snacking.",10,25,91
Pressure Washer Accessories Kit,39.99,16,Essential attachments for pressure washing.,1,63,42
Athletic Compression Tights,39.99,90,High-performance compression tights designed for optimal support and comfort.,6,31,2
Cork Yoga Mat,39.99,19,Eco-friendly yoga mat made from sustainable materials.,9,56,88
Rechargeable Electric Screwdriver,39.99,71,Convenient electric screwdriver for DIY projects at home.,2,9,3
Smart LED Desk Lamp,39.99,58,Adjustable lamp with multiple brightness levels and colors.,6,6,71
Rechargeable Laptop Battery Pack,49.99,42,Portable battery pack to charge laptops while on the move.,12,32,72
Teriyaki Beef Strips,7.49,20,Marinated beef strips in teriyaki sauce for easy grilling.,5,100,26
Turmeric Ginger Tea,3.29,65,A soothing tea blend with turmeric and ginger for wellness.,9,54,39
Travel Organizer,22.99,25,Compact travel organizer for accessories and toiletries.,1,33,88
Memory Foam Mattress Pad,69.99,66,Extra layer of comfort for your mattress.,3,100,62
Multi-Function Smartphone Holder,12.99,70,"Versatile holder that can be used on desks, cars, and more.",1,75,13
Kettle Corn Popcorn,2.99,60,"Sweet and salty kettle corn, perfect for snacking.",10,7,2
Gaming Headset,69.99,61,Comfortable gaming headset with surround sound.,4,60,46
Silicone Baking Mats,19.99,18,Reusable silicone mats for non-stick baking.,11,3,83
Cat Scratching Post with Toys,44.99,34,Multi-level scratching post to keep your cat entertained.,7,74,97
Honeycrisp Apple Chips,3.49,31,Crispy and sweet dried apple slices,3,19,70
LED Camping Lantern with USB Charging,34.99,70,Rechargeable lantern with multiple brightness settings for outdoors.,3,48,59
Sweet Potato Chips,2.99,100,"Deliciously crunchy sweet potato chips, seasoned to perfection.",7,7,55
Avocado Lime Dressing,4.29,71,"Refreshing dressing made with avocado and lime, perfect for salads.",3,40,19
Buffalo Stilton Cheese,8.99,77,Spicy blue cheese with a hint of buffalo flavor.,8,13,95
Silicone Stretch Lids,14.99,5,Reusable silicone lids for covering food in bowls and storage containers.,1,82,60
Pineapple Teriyaki Chicken Mix,6.99,46,A perfect blend of pineapple and teriyaki for stir-fry.,1,57,96
Jigsaw Puzzle,14.99,42,500-piece jigsaw puzzle featuring beautiful scenery.,6,96,5
Savory Oatmeal,2.49,9,Oatmeal made with savory spices and vegetables.,10,41,60
Kale Chips,3.99,18,"Healthy, crunchy kale chips, a nutritious snack.",8,32,7
Watercolor Set,19.99,70,Complete watercolor set with paints and brushes.,10,64,97
Garlic Parmesan Roasted Potatoes,3.99,51,Oven-roasted potatoes tossed in garlic and parmesan cheese seasoning.,1,55,21
Buttermilk Pancakes,3.99,15,Fluffy pancakes with buttermilk flavor.,1,84,38
Organic Coconut Flakes,3.49,39,Unsweetened coconut flakes for baking and snacking.,9,63,33
Classic Vanilla Fudge,4.49,7,"Creamy vanilla fudge, a sweet treat for all occasions.",5,67,78
Spicy Thai Noodles,1.99,38,Instant noodles with a spicy Thai sauce for quick meals.,11,57,6
Adjustable Stand for Tablets and Smartphones,19.99,74,Multi-angle stand for easy viewing of devices.,5,49,14
Maple Cinnamon Granola Bars,3.49,20,Chewy granola bars with maple and cinnamon flavor.,11,31,50
Hummus Trio Pack,5.49,100,"A variety pack of classic, roasted red pepper, and garlic hummus.",4,74,52
Desk Lamp with USB Port,29.99,66,Modern desk lamp that features a built-in USB charging port.,4,100,70
Chocolate Fudge Brownie Mix,2.99,61,Just add water for delicious brownies.,8,18,64
Personalized Cutting Board,34.99,94,Custom cutting board made from high-quality wood.,4,90,87
Repair Tool Set for Home Improvement,29.99,96,Small toolkit with essentials for home repairs.,7,10,74
Ice Cube Tray with Lid,10.99,90,Silicone tray for making ice cubes with a lid to prevent spills.,4,19,8
Teriyaki Sauce,2.99,81,Sweet and savory sauce for marinating and glazing meats or vegetables.,6,89,67
Organic Coconut Flour,5.49,86,Finely ground flour from dried coconut meat.,8,87,48
Marinara Sauce,3.49,93,Classic marinara sauce for all pasta dishes.,1,41,77
Frozen Fruit Medley,5.99,30,"A mix of strawberries, blueberries, and raspberries, perfect for smoothies.",11,69,66
Hot Dog Buns,2.49,5,Soft buns perfect for stuffing with your favorite hot dogs.,11,51,49
Magnetic Spice Jars,24.99,40,Convenient magnetic jars for easy spice storage.,5,44,45
Wooden Blocks,24.99,35,Classic wooden building blocks for toddlers.,11,76,1
Walnut Halves,8.49,26,Fresh walnut halves for baking or snacking.,9,6,36
Vintage Button-Down Shirt,45.99,34,A retro-style button-down shirt with a relaxed fit.,8,33,47
Granola Cereal,4.49,83,"Crunchy granola with oats, nuts, and honey.",2,7,48
Natural Soy Candles,19.99,11,Eco-friendly soy candles with a variety of scents.,7,80,59
Sesame Ginger Dressing,4.09,26,"Tangy dressing perfect for salads and marinades, with sesame and ginger flavors.",4,16,38
Travel Shoe Bags Set,15.99,56,Set of breathable bags for organizing shoes while traveling.,4,24,89
Chili Garlic Sauce,2.49,74,"Spicy sauce made with chili peppers and garlic, great for stir-frying.",12,27,29
Chocolate Hazelnut Granola,4.49,82,Crunchy granola with chocolate and hazelnuts for breakfast.,2,20,29
Mini Fondue Set,34.99,98,Complete fondue set for chocolate and cheese parties.,10,87,69
Thermostatic Shower Valve Kit,39.99,27,Regulate water temperature for safe and comfortable showers.,2,70,4
Apple Cinnamon Granola,4.49,52,A wholesome granola with bits of apple and a touch of cinnamon.,7,25,66
